code,name,name_clean,name_search,scie,grup,food_category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water,ash,protein_percent,carbs_percent,fat_percent,fasat,fauns,fapu,cholc,ca,fe,mg,p,k,na,zn,vita,vitc,vitd,vite,thia,ribf,nia,vitb6c,folsum,fsugar,protein_density,fiber_density,search_keywords,tags,regn
G004,"Chillies, green-4","chillies, green-4",chillies green 4,Capsicum annum,Condiments and Spices,Seasonings,190.0,2.33,6.63,0.74,4.15,85.29,0.87,24.0,68.4,7.6,0.148,0.441,0.412,0.0,0.016,0.001,0.03,0.043,0.318,0.002,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.62,1.23,2.18,chillies green 4 vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,3
G005,"Chillies, green-5","chillies, green-5",chillies green 5,Capsicum annum,Condiments and Spices,Seasonings,180.0,2.01,6.64,0.65,3.95,85.93,0.82,21.6,71.4,7.0,0.109,0.411,0.384,0.0,0.015,0.001,0.024,0.044,0.317,0.002,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.46,1.12,2.19,chillies green 5 vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
G006,"Chillies, green-6","chillies, green-6",chillies green 6,Capsicum annum,Condiments and Spices,Seasonings,175.0,3.01,5.31,0.64,5.15,84.93,0.96,33.6,59.3,7.1,0.121,0.391,0.363,0.0,0.025,0.001,0.035,0.056,0.34,0.002,0.0,0.001,0.108,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.59,1.72,2.94,chillies green 6 vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
G007,"Chillies, green-7","chillies, green-7",chillies green 7,Capsicum annum,Condiments and Spices,Seasonings,163.0,2.12,5.61,0.6,4.95,85.83,0.9,25.5,67.3,7.2,0.102,0.362,0.332,0.0,0.017,0.001,0.027,0.046,0.319,0.002,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.73,1.3,3.04,chillies green 7 vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
G008,"Chillies, green - all varieties","chillies, green - all varieties",chillies green all varieties,Capsicum annum,Condiments and Spices,Seasonings,177.0,2.36,5.86,0.72,4.77,85.39,0.91,26.4,65.5,8.1,0.129,0.445,0.413,0.0,0.018,0.001,0.03,0.051,0.341,0.002,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.67,1.33,2.69,chillies green all varieties vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G009,Coriander leaves,coriander leaves,coriander leaves,Coriandrum sativum,Condiments and Spices,Seasonings,130.0,3.52,1.93,0.7,4.66,86.99,2.19,57.2,31.4,11.4,0.228,0.329,0.32,0.0,0.146,0.005,0.073,0.065,0.546,0.037,0.001,0.004,0.024,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.17,2.71,3.58,coriander leaves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G010,Curry leaves,curry leaves,curry leaves,Murraya koenigii,Condiments and Spices,Seasonings,266.0,7.41,4.51,1.06,16.83,65.33,4.86,57.1,34.7,8.2,0.267,0.614,0.569,0.0,0.659,0.009,0.182,0.083,0.584,0.019,0.001,0.008,0.006,0.0,0.002,0.0,0.0,0.001,0.001,0.0,0.6,2.79,6.33,curry leaves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G011,"Garlic, big cloves","garlic, big cloves",garlic big cloves,Allium sativum,Condiments and Spices,Seasonings,518.0,6.92,21.93,0.16,5.22,64.38,1.4,23.9,75.6,0.6,0.034,0.081,0.067,0.0,0.02,0.001,0.027,0.119,0.43,0.009,0.001,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.001,0.0,5.97,1.34,1.01,garlic big cloves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G012,"Garlic, small cloves","garlic, small cloves",garlic small cloves,Allium sativum,Condiments and Spices,Seasonings,514.0,6.75,21.84,0.14,5.47,64.42,1.38,23.5,76.0,0.5,0.033,0.075,0.062,0.0,0.018,0.001,0.026,0.116,0.453,0.011,0.001,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4.84,1.31,1.06,garlic small cloves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,3
G013,"Garlic, single clove, Kashmir","garlic, single clove, kashmir",garlic single clove kashmir,Allium sativum,Condiments and Spices,Seasonings,523.0,6.12,23.46,0.16,4.01,64.49,1.76,20.6,78.9,0.5,0.035,0.093,0.082,0.0,0.019,0.001,0.041,0.128,0.584,0.009,0.001,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.001,0.0,3.73,1.17,0.77,garlic single clove kashmir vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
G014,"Ginger, fresh","ginger, fresh",ginger fresh,Zinziber officinale,Condiments and Spices,Seasonings,230.0,2.22,8.97,0.85,5.36,81.27,1.33,18.4,74.5,7.1,0.231,0.449,0.381,0.0,0.019,0.002,0.055,0.044,0.407,0.01,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.97,2.33,ginger fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G015,Mango ginger,mango ginger,mango ginger,Curcuma amada,Condiments and Spices,Seasonings,177.0,1.45,6.98,0.7,4.74,84.55,1.57,15.9,76.5,7.7,0.177,0.386,0.334,0.0,0.014,0.002,0.037,0.068,0.384,0.006,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,2.42,0.82,2.68,mango ginger vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,3
G016,Mint leaves,mint leaves,mint leaves,Mentha spicata,Condiments and Spices,Seasonings,155.0,4.66,2.39,0.65,5.89,84.24,2.18,60.5,31.0,8.4,0.125,0.365,0.352,0.0,0.205,0.009,0.11,0.065,0.539,0.017,0.001,0.005,0.017,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.08,3.01,3.8,mint leaves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
G017,"Onion, big","onion, big",onion big,Allium cepa,Condiments and Spices,Seasonings,201.0,1.5,9.56,0.24,2.45,85.76,0.5,13.3,84.6,2.1,0.061,0.146,0.107,0.0,0.021,0.0,0.018,0.032,0.171,0.006,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.75,1.22,onion big vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G018,"Onion, small","onion, small",onion small,Allium cepa,Condiments and Spices,Seasonings,237.0,1.82,11.58,0.16,1.16,84.67,0.61,13.4,85.4,1.2,0.041,0.087,0.071,0.0,0.02,0.001,0.015,0.04,0.16,0.004,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,0.77,0.49,onion small vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
G019,Asafoetida,asafoetida,asafoetida,Ferula assa-foetida,Condiments and Spices,Seasonings,1387.0,6.34,71.95,1.26,5.13,9.42,5.9,8.0,90.4,1.6,0.242,0.764,0.514,0.0,0.266,0.016,0.096,0.069,0.245,0.016,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.93,0.46,0.37,asafoetida vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G020,"Cardamom, green","cardamom, green",cardamom green,Elettaria cardamomum,Condiments and Spices,Seasonings,1067.0,8.1,47.76,2.6,23.1,11.24,7.21,13.9,81.7,4.4,0.624,1.474,0.583,0.0,0.378,0.008,0.33,0.132,1.262,0.016,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,4.28,0.76,2.16,cardamom green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G021,"Cardamom, black","cardamom, black",cardamom black,Elettaria cardamomum,Condiments and Spices,Seasonings,1132.0,6.69,52.53,2.8,23.46,6.69,7.84,10.8,84.7,4.5,0.493,1.6,0.517,0.0,0.312,0.008,0.286,0.117,1.331,0.016,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,2.3,0.59,2.07,cardamom black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
G022,"Chillies, red","chillies, red",chillies red,Capsicum annum,Condiments and Spices,Seasonings,990.0,12.69,29.46,6.4,31.15,14.57,5.73,26.1,60.7,13.2,1.141,3.981,3.263,0.0,0.1,0.006,0.231,0.28,2.245,0.019,0.002,0.003,0.0,0.0,0.001,0.0,0.001,0.007,0.0,0.0,4.7,1.28,3.15,chillies red vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G023,Cloves,cloves,cloves,Syzygium aromaticum,Condiments and Spices,Seasonings,781.0,5.86,18.73,8.41,34.52,26.49,5.99,17.8,56.8,25.5,2.679,4.033,3.428,0.0,0.567,0.009,0.334,0.083,1.434,0.183,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,2.1,0.75,4.42,cloves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G024,Coriander seeds,coriander seeds,coriander seeds,Coriandrum sativum,Condiments and Spices,Seasonings,1125.0,10.66,12.98,17.47,44.81,8.72,5.36,25.9,31.6,42.5,0.952,13.016,2.247,0.0,0.718,0.018,0.343,0.293,1.473,0.034,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,2.38,0.95,3.98,coriander seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G025,Cumin seeds,cumin seeds,cumin seeds,Cuminum cyminum,Condiments and Spices,Seasonings,1274.0,13.91,22.62,16.64,30.35,10.59,5.9,26.2,42.5,31.3,0.619,12.692,4.313,0.0,0.878,0.021,0.442,0.382,1.886,0.125,0.004,0.0,0.0,0.0,0.001,0.001,0.0,0.003,0.0,0.0,1.38,1.09,2.38,cumin seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G026,Fenugreek seeds,fenugreek seeds,fenugreek seeds,Trigonella foenum graecum,Condiments and Spices,Seasonings,983.0,25.41,10.57,5.72,47.55,7.82,2.93,60.9,25.3,13.7,0.77,3.808,3.133,0.0,0.135,0.008,0.167,0.435,0.891,0.04,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.55,2.58,4.84,fenugreek seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G027,Mace,mace,mace,Myristica fragrans,Condiments and Spices,Seasonings,1488.0,6.24,26.51,24.41,20.31,20.06,2.47,10.9,46.4,42.7,9.304,14.033,4.731,0.0,0.174,0.023,0.207,0.11,0.623,0.027,0.001,0.002,0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.85,0.42,1.36,mace vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G028,Nutmeg,nutmeg,nutmeg,Myristica fragrans,Condiments and Spices,Seasonings,1940.0,6.3,27.64,36.52,11.99,15.55,1.99,8.9,39.2,51.8,3.359,2.016,0.379,0.0,0.148,0.002,0.212,0.207,0.474,0.014,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,1.08,0.32,0.62,nutmeg vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G029,Omum,omum,omum,Trachyspermum ammi,Condiments and Spices,Seasonings,1495.0,15.89,24.53,21.11,20.58,9.71,8.18,25.8,39.9,34.3,1.112,19.072,5.193,0.0,1.034,0.014,0.273,0.329,1.692,0.029,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,2.76,1.06,1.38,omum vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G030,Pippali,pippali,pippali,Piper longum,Condiments and Spices,Seasonings,906.0,10.53,35.7,2.27,34.14,10.95,6.41,21.7,73.6,4.7,0.602,1.212,0.885,0.0,0.414,0.008,0.189,0.181,1.852,0.016,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,2.75,1.16,3.77,pippali vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G031,"Pepper, black","pepper, black",pepper black,Piper nigrum,Condiments and Spices,Seasonings,910.0,10.12,36.22,2.74,33.16,13.18,4.58,20.6,73.8,5.6,0.654,1.539,1.076,0.0,0.405,0.012,0.196,0.144,1.487,0.024,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.32,1.11,3.64,pepper black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G032,Poppy seeds,poppy seeds,poppy seeds,Papaver somniferum,Condiments and Spices,Seasonings,1768.0,20.31,12.37,30.38,26.68,4.22,6.04,32.2,19.6,48.2,2.074,16.2,13.847,0.0,1.372,0.01,0.393,0.804,0.646,0.025,0.006,0.0,0.0,0.0,0.002,0.001,0.0,0.001,0.0,0.0,1.85,1.15,1.51,poppy seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
G033,Turmeric powder,turmeric powder,turmeric powder,Curcuma domestica,Condiments and Spices,Seasonings,1174.0,7.66,49.22,5.03,21.38,10.58,6.13,12.4,79.5,8.1,1.634,2.388,1.94,0.0,0.122,0.046,0.26,0.276,2.374,0.024,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.002,0.0,0.0,1.23,0.65,1.82,turmeric powder vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H001,Almond,almond,almond,Prunus amygdalus,Nuts and Oil Seeds,Nuts_Seeds,2549.0,18.41,3.04,58.49,13.06,4.37,2.62,23.0,3.8,73.2,4.358,51.551,13.215,0.0,0.228,0.005,0.318,0.446,0.699,0.002,0.004,0.0,0.001,0.0,0.026,0.0,0.0,0.004,0.0,0.0,2.23,0.72,0.51,almond vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H002,"Arecanut, dried, brown","arecanut, dried, brown",arecanut dried brown,Areca catechu,Nuts and Oil Seeds,Nuts_Seeds,1467.0,5.78,70.42,4.35,11.44,6.63,1.39,7.2,87.4,5.4,2.605,0.869,0.403,0.0,0.061,0.003,0.076,0.105,0.524,0.012,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.76,0.39,0.78,arecanut dried brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H003,"Arecanut, dried, red color","arecanut, dried, red color",arecanut dried red color,Areca catechu,Nuts and Oil Seeds,Nuts_Seeds,1477.0,6.46,70.27,4.46,11.11,6.3,1.41,8.0,86.6,5.5,1.674,1.905,0.918,0.0,0.051,0.003,0.091,0.127,0.617,0.017,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.79,0.44,0.75,arecanut dried red color vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,3
H004,"Arecanut, fresh","arecanut, fresh",arecanut fresh,Areca catechu,Nuts and Oil Seeds,Nuts_Seeds,1024.0,2.73,45.0,5.51,7.63,37.7,1.43,5.1,84.5,10.3,3.389,1.121,0.522,0.0,0.034,0.001,0.048,0.09,0.329,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,4.72,0.27,0.75,arecanut fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
H005,Cashew nut,cashew nut,cashew nut,Anacardium occidentale,Nuts and Oil Seeds,Nuts_Seeds,2438.0,18.78,25.46,45.2,3.86,4.44,2.25,21.0,28.5,50.5,7.816,35.389,7.482,0.0,0.034,0.006,0.307,0.5,0.635,0.009,0.005,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,3.11,0.77,0.16,cashew nut vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H006,"Coconut, kernel, dry","coconut, kernel, dry",coconut kernel dry,Cocos nucifera,Nuts and Oil Seeds,Nuts_Seeds,2611.0,7.27,8.01,63.26,15.88,3.97,1.61,9.3,10.2,80.5,43.138,4.639,0.929,0.0,0.032,0.003,0.097,0.203,0.739,0.017,0.001,0.0,0.0,0.0,0.006,0.0,0.0,0.001,0.0,0.0,6.93,0.28,0.61,coconut kernel dry vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H007,"Coconut, kernel, fresh","coconut, kernel, fresh",coconut kernel fresh,Cocos nucifera,Nuts and Oil Seeds,Nuts_Seeds,1711.0,3.84,6.3,41.38,10.42,36.14,1.93,7.5,12.2,80.3,28.048,3.088,0.639,0.0,0.008,0.001,0.035,0.068,0.246,0.008,0.001,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,6.2,0.22,0.61,coconut kernel fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H008,"Garden cress, seeds","garden cress, seeds",garden cress seeds,Lepidium sativum,Nuts and Oil Seeds,Nuts_Seeds,1863.0,23.36,33.66,23.74,8.27,4.6,6.37,28.9,41.7,29.4,4.101,18.595,10.464,0.0,0.318,0.017,0.307,0.539,0.952,0.022,0.005,0.0,0.0,0.0,0.0,0.001,0.0,0.006,0.0,0.0,0.91,1.25,0.44,garden cress seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
H009,"Gingelly seeds, black","gingelly seeds, black",gingelly seeds black,Sesamum indicum,Nuts and Oil Seeds,Nuts_Seeds,2124.0,19.17,10.29,43.1,17.16,4.51,5.78,26.4,14.2,59.4,6.317,34.864,19.259,0.0,1.664,0.014,0.39,0.568,0.48,0.016,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.99,0.9,0.81,gingelly seeds black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H010,"Gingelly seeds, brown","gingelly seeds, brown",gingelly seeds brown,Sesamum indicum,Nuts and Oil Seeds,Nuts_Seeds,2161.0,21.61,9.76,43.22,17.21,3.62,4.58,29.0,13.1,57.9,6.25,35.067,19.078,0.0,1.174,0.015,0.328,0.613,0.491,0.012,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,1.39,1.0,0.8,gingelly seeds brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
H011,"Gingelly seeds, white","gingelly seeds, white",gingelly seeds white,Sesamum indicum,Nuts and Oil Seeds,Nuts_Seeds,2174.0,21.7,10.83,43.05,16.99,3.3,4.13,28.7,14.3,57.0,6.43,34.721,18.597,0.0,1.283,0.015,0.372,0.754,0.46,0.015,0.008,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.001,0.0,0.67,1.0,0.78,gingelly seeds white vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
H012,Ground nut,ground nut,ground nut,Arachis hypogea,Nuts and Oil Seeds,Nuts_Seeds,2176.0,23.65,17.27,39.63,10.38,6.97,2.11,29.4,21.4,49.2,8.144,29.921,11.584,0.0,0.054,0.003,0.197,0.391,0.679,0.012,0.003,0.0,0.0,0.0,0.0,0.001,0.0,0.011,0.0,0.0,4.42,1.09,0.48,ground nut vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H013,Mustard seeds,mustard seeds,mustard seeds,Brassica nigra,Nuts and Oil Seeds,Nuts_Seeds,2132.0,19.51,16.8,40.19,14.1,5.67,3.73,25.5,22.0,52.5,2.112,29.942,8.91,0.0,0.402,0.013,0.266,0.715,0.694,0.004,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.004,0.0,0.0,5.07,0.92,0.66,mustard seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H014,Linseeds,linseeds,linseeds,Linum usitatissimum,Nuts and Oil Seeds,Nuts_Seeds,1857.0,18.55,10.99,35.67,26.17,5.48,3.15,28.4,16.9,54.7,2.968,21.259,16.147,0.0,0.257,0.005,0.349,0.445,0.655,0.033,0.005,0.0,0.0,0.0,0.008,0.0,0.0,0.001,0.0,0.0,0.6,1.0,1.41,linseeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H015,"Niger seeds, black","niger seeds, black",niger seeds black,Guizotia abyssinica,Nuts and Oil Seeds,Nuts_Seeds,2144.0,18.92,22.98,38.61,10.93,4.65,3.91,23.5,28.5,48.0,5.945,30.968,21.935,0.0,0.572,0.018,0.346,0.461,0.716,0.011,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,1.75,0.88,0.51,niger seeds black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
H016,"Niger seeds, grey","niger seeds, grey",niger seeds grey,Guizotia abyssinica,Nuts and Oil Seeds,Nuts_Seeds,2128.0,18.34,20.59,39.53,10.96,5.66,4.92,23.4,26.2,50.4,9.737,28.016,23.564,0.0,0.375,0.02,0.379,0.474,0.874,0.008,0.004,0.0,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.0,0.41,0.86,0.52,niger seeds grey vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
H017,Pine seeds,pine seeds,pine seeds,Pinus sp.,Nuts and Oil Seeds,Nuts_Seeds,2486.0,12.55,26.77,48.79,3.79,5.32,2.78,14.2,30.4,55.4,3.801,42.826,24.202,0.0,0.017,0.004,0.268,0.618,0.686,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,4.67,0.5,0.15,pine seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
H018,Pistachio nuts,pistachio nuts,pistachio nuts,Pistacia vera,Nuts and Oil Seeds,Nuts_Seeds,2257.0,23.35,15.82,42.49,10.64,4.68,3.02,28.6,19.4,52.0,4.043,30.868,11.946,0.0,0.135,0.004,0.149,0.537,1.053,0.007,0.002,0.0,0.0,0.0,0.034,0.001,0.0,0.001,0.001,0.0,7.9,1.03,0.47,pistachio nuts vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
H019,Safflower seeds,safflower seeds,safflower seeds,Carthamus tinctorius,Nuts and Oil Seeds,Nuts_Seeds,1981.0,17.66,30.18,30.87,13.49,5.24,2.57,22.4,38.3,39.2,2.548,22.37,18.781,0.0,0.211,0.004,0.321,0.644,0.55,0.003,0.004,0.0,0.0,0.0,0.035,0.001,0.0,0.001,0.001,0.0,2.67,0.89,0.68,safflower seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
H020,Sunflower seeds,sunflower seeds,sunflower seeds,Helianthus annuus,Nuts and Oil Seeds,Nuts_Seeds,2453.0,23.53,6.85,51.85,10.8,3.53,3.44,28.6,8.3,63.1,6.159,43.383,25.58,0.0,0.176,0.006,0.413,0.752,0.559,0.002,0.007,0.0,0.0,0.0,0.013,0.001,0.0,0.002,0.001,0.0,2.81,0.96,0.44,sunflower seeds vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
H021,Walnut,walnut,walnut,Juglans regia,Nuts and Oil Seeds,Nuts_Seeds,2809.0,14.92,10.14,64.27,5.39,3.56,1.72,16.7,11.4,71.9,5.208,56.231,44.915,0.0,0.105,0.003,0.18,0.4,0.457,0.001,0.003,0.0,0.001,0.0,0.004,0.0,0.0,0.001,0.001,0.0,3.22,0.53,0.19,walnut vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
I001,"Jaggery, cane","jaggery, cane",jaggery cane,Saccharum officinarum,Sugars,Sweeteners,1480.0,1.85,84.87,0.16,0.0,11.2,1.92,2.1,97.7,0.2,0.069,0.055,0.033,0.0,0.107,0.005,0.115,0.075,0.488,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,84.32,0.12,0.0,jaggery cane vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
I002,"Sugarcane, juice","sugarcane, juice",sugarcane juice,Saccharum officinarum,Sugars,Sweeteners,242.0,0.16,13.11,0.4,0.56,85.54,0.23,1.2,95.9,2.9,0.14,0.203,0.173,0.0,0.018,0.001,0.013,0.022,0.15,0.001,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85,0.07,0.23,sugarcane juice vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
J001,"Button mushroom, fresh","button mushroom, fresh",button mushroom fresh,Agaricus sp.,Mushrooms,Vegetables,115.0,3.68,1.98,0.42,3.11,90.09,0.71,60.5,32.6,6.9,0.063,0.27,0.263,0.0,0.018,0.0,0.018,0.087,0.318,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.1,3.2,2.7,button mushroom fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
J002,"Chicken mushroom, fresh","chicken mushroom, fresh",chicken mushroom fresh,Lactiporus sp.,Mushrooms,Vegetables,89.0,1.84,2.76,0.25,1.99,92.43,0.74,37.9,56.9,5.2,0.06,0.14,0.137,0.0,0.005,0.0,0.011,0.08,0.34,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.1,2.07,2.24,chicken mushroom fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
J003,"Shiitake mushroom, fresh","shiitake mushroom, fresh",shiitake mushroom fresh,Lentinula sp.,Mushrooms,Vegetables,243.0,3.19,8.98,0.76,3.02,82.94,1.11,24.7,69.5,5.9,0.116,0.492,0.48,0.0,0.005,0.002,0.024,0.096,0.323,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.2,1.31,1.24,shiitake mushroom fresh vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
J004,"Oyster mushroom, dried","oyster mushroom, dried",oyster mushroom dried,Pleurotus sp.,Mushrooms,Vegetables,1019.0,19.04,33.07,2.86,39.12,4.51,1.41,34.6,60.2,5.2,0.422,1.866,1.792,0.0,0.024,0.004,0.136,0.702,0.35,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.0,0.68,1.87,3.84,oyster mushroom dried vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
K001,Toddy,toddy,toddy,Unknown,Miscellaneous Foods,Other,101.0,0.18,5.72,0.03,0.0,93.86,0.21,3.0,96.5,0.5,0.031,0.1,0.065,0.0,0.0,0.0,0.004,0.006,0.084,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.18,0.0,toddy vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,10
K002,Coconut water,coconut water,coconut water,Cocos nucifera,Miscellaneous Foods,Other,64.0,0.26,3.16,0.16,0.0,95.77,0.65,7.3,88.3,4.5,0.093,0.028,0.004,0.0,0.027,0.0,0.018,0.018,0.215,0.028,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.41,0.0,coconut water vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
L001,"Milk, whole, Buffalo","milk, whole, buffalo",milk whole buffalo,Unknown,Milk and Milk Products,Dairy,449.0,3.68,8.39,6.58,0.0,80.68,0.67,19.7,45.0,35.3,4.63,2.119,0.2,0.0,0.121,0.0,0.01,0.087,0.109,0.03,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.82,0.0,milk whole buffalo vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
